127.0.0.1 - - [26/Oct/2020:11:59:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:09:20 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:09:20 +0900] "GET /Grass_Farm/img/work.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:09:20 +0900] "GET /Grass_Farm/img/mail.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:14:50 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:14:50 +0900] "GET /Grass_Farm/img/mail.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:09 +0900] "GET /Grass_Farm/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:11 +0900] "GET /Grass_Farm/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:18 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:20 +0900] "GET /Grass_Farm/Login.jsp HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:20 +0900] "GET /Grass_Farm/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:20 +0900] "GET /Grass_Farm/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:57 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:15:58 +0900] "GET /Grass_Farm/Login.jsp HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:16:04 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [26/Oct/2020:12:16:04 +0900] "GET /Grass_Farm/img/mail.png HTTP/1.1" 404 838
